config,Year,Trt_code,Date,SWD_AC,Canopy_AC,SWD_obs,SWD_USDA,root_raw,stage,dap,gdd_cum,z_root_m,canopy_cover_frac,Es_mm,Tr_mm,DeepPerc_mm,Tmean,Tmax,Tmin,ETo,Rain,Irr,irr7,irr14,rain7,rain14,eto7,eto14,days_since_irr,cum_irr,cum_rain,cum_eto,LV,GF
z105_i85,2013,8,2013-07-18,50.01372491289508,84.32682107137775,52.8,56.4,680.0,,65.0,765.0529999999999,0.7150005339685266,0.8771032738832959,0.3821312266543513,5.762813285201656,0.0,22.232916666666668,33.1,14.66,5.962461876682937,3.048,0.0,15.7,57.7,19.05,24.383999999999997,41.36358551257581,86.42344136127213,3,146.2,110.23600000000002,728.6905410310453,65,65
z105_i85,2013,8,2013-07-23,62.43087367483741,87.03750963177495,67.2,68.9,780.0,,70.0,831.6079999999998,0.7557472145141575,0.8936846232549956,0.0157552078808695,4.927235015125103,0.0,21.70375,28.64,13.15,5.665949362330139,0.0,0.0,12.2,53.2,5.334,21.336,39.95403988286853,83.03374766245543,4,158.39999999999998,112.52200000000002,755.0918842546841,65,65
z105_i85,2013,8,2013-07-25,52.04569974052058,87.413014514471,46.2,57.6,820.0,V18,72.0,857.3679999999998,0.7718314000764734,0.8964630639274523,0.1432569260010882,2.6736537796862105,0.0,19.297083333333333,24.97,14.25,2.8561332554672845,0.0,0.0,30.5,46.2,2.286,21.336,33.982164114073385,75.3457496266492,1,176.7,112.52200000000002,762.6727051451187,65,65
z105_i85,2013,8,2013-07-28,62.39384342791776,87.413014514471,64.1,69.3,880.0,,75.0,889.0129999999998,0.7957815046885981,0.8964630639274523,0.1210606201938314,2.1586006061676266,0.0,17.42125,22.46,14.06,2.4136024198960513,0.508,0.0,18.3,46.2,1.524,6.8580000000000005,31.678499319357798,71.69425371920806,4,176.7,114.046,774.8697403873982,65,65
z105_i85,2013,8,2013-07-30,17.46351919916687,87.413014514471,14.4,25.4,910.0,,77.0,913.9979999999998,0.8116201598485824,0.8964630639274523,0.2711912145081316,5.128968389598985,0.0,21.17916666666667,30.69,13.01,5.406776956398971,0.0,0.0,70.8,83.0,1.524,6.8580000000000005,27.09857230790658,67.05261219077511,1,229.2,114.046,782.1904565625907,65,65
z105_i85,2013,8,2013-08-01,28.179734058114967,87.413014514471,37.9,38.7,930.0,R1,79.0,941.213,0.8273603233068503,0.8964630639274523,0.2283742120024767,4.295986621307178,0.0,21.539166666666663,30.19,14.24,4.553128423169255,0.0,0.0,52.5,83.0,1.524,3.81,29.972168463165872,63.954332577239256,3,229.2,114.046,792.6448736082846,65,65
z105_i85,2013,8,2013-08-06,14.950129660214468,87.413014514471,15.6,23.7,965.0,,84.0,1010.4479999999998,0.8663002636861097,0.8964630639274523,0.2669367173796101,4.953613422356589,0.2005593021994026,20.744583333333335,30.85,12.62,5.321954455503146,0.0,0.0,30.4,101.19999999999999,20.07,21.593999999999998,37.19177419528387,64.29034650319045,4,259.59999999999997,134.116,819.3822307578746,65,65
z105_i85,2013,8,2013-08-08,2.006469700846115,87.413014514471,6.9,11.9,975.0,R2,86.0,1031.6729999999998,0.8817196019353641,0.8964630639274523,0.1406695332499803,2.4847842150427275,1.493180686514655,17.9425,24.92,12.8,2.804548046377022,0.0,0.0,50.7,103.2,20.07,21.593999999999998,32.98520706994714,62.95737553311301,1,279.9,134.116,825.6300806782317,65,65
z105_i85,2013,8,2013-08-11,15.781429135413196,87.413014514471,42.0,30.3,990.0,,89.0,1067.393,0.9046890482181648,0.8964630639274523,0.189346566553119,3.4656751520281626,0.0059364916636416,21.0375,27.59,14.67,3.7750288285315037,0.0,0.0,20.3,103.2,0.0,20.07,30.79437022570346,64.70460121382166,4,279.9,134.116,839.5743416012199,65,65
z105_i85,2013,8,2013-08-13,1.5753930705956662,87.413014514471,3.1,15.7,1000.0,,91.0,1089.558,0.9198991940752546,0.8964630639274523,0.2114363711880784,3.703209227811006,4.702302996104627,18.892500000000002,26.06,12.06,4.215436335420236,0.762,0.0,40.6,71.0,6.604000000000001,26.674,28.664442912995582,65.85621710827945,1,300.2,140.72000000000003,848.0466736708702,65,65
