config,Year,Trt_code,Date,SWD_AC,Canopy_AC
z105_i100,2013,3,2013-07-07,39.706848183024,73.65624443319881
z105_i100,2013,3,2013-07-08,45.496379151844515,75.32938680187455
z105_i100,2013,3,2013-07-09,51.40931467713894,76.15901450387817
z105_i100,2013,3,2013-07-10,26.194392188201558,78.92568380562275
z105_i100,2013,3,2013-07-11,35.11549965605006,81.27307812478503
z105_i100,2013,3,2013-07-12,33.15490849517826,83.2637519721421
z105_i100,2013,3,2013-07-13,31.557690048279213,84.95072940408689
z105_i100,2013,3,2013-07-14,35.662841087920626,86.37891067122251
z105_i100,2013,3,2013-07-15,40.221931722676985,87.37505921349418
z105_i100,2013,3,2013-07-16,21.858686191692893,88.41916534271654
z105_i100,2013,3,2013-07-17,29.692572672938354,89.29731399098151
z105_i100,2013,3,2013-07-18,32.78052744005146,90.02122242563311
z105_i100,2013,3,2013-07-19,19.746742081030494,90.63382616753674
z105_i100,2013,3,2013-07-20,25.303473813365088,91.13797845474711
z105_i100,2013,3,2013-07-21,30.128414335689357,91.50820542128952
z105_i100,2013,3,2013-07-22,36.40568975048184,91.76624182308231
z105_i100,2013,3,2013-07-23,41.992759689467334,91.94265808669904
z105_i100,2013,3,2013-07-24,14.373056311811643,92.11265009077565
z105_i100,2013,3,2013-07-25,17.181970283634126,92.11265009077565
z105_i100,2013,3,2013-07-26,22.598531487705767,92.11265009077565
z105_i100,2013,3,2013-07-27,25.24950435149221,92.11265009077565
z105_i100,2013,3,2013-07-28,27.012322466501953,92.11265009077565
z105_i100,2013,3,2013-07-29,-7.529666689127581,92.11265009077565
z105_i100,2013,3,2013-07-30,3.692204437025491,92.11265009077565
z105_i100,2013,3,2013-07-31,10.766194003493817,92.11265009077565
z105_i100,2013,3,2013-08-01,15.41363718785094,92.11265009077565
z105_i100,2013,3,2013-08-02,-4.162499314403581,92.11265009077565
z105_i100,2013,3,2013-08-03,-14.286466221772328,92.11265009077565
z105_i100,2013,3,2013-08-04,2.440552652687889,92.11265009077565
z105_i100,2013,3,2013-08-05,9.404537745674501,92.11265009077565
