variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,SWD_obs,SWD_USDA,root_raw,stage
root_anchored,2013,5,80/50,2013-08-15,93.0,1111.578,0.9350717250037027,0.9218037162992264,1634.956142456759,2.5674000864338713,0.157804013372446,4.33402514520374,0.21207377148266154,0.0,11.61904886493066,21.0,18.6,1010.0,
root_anchored,2013,5,80/50,2013-08-20,98.0,1176.4379999999996,0.972564021480168,0.9218037162992264,1792.0973632554178,3.642860943838128,0.008897851361746775,4.983478756861926,1.1365910517203773e-06,0.0,35.75647311484655,67.1,50.3,1035.0,
root_anchored,2013,5,80/50,2013-08-22,100.0,1205.9279999999994,0.9874325178669815,0.9218037162992264,1854.311879333247,4.112314001136754,0.12899182437383358,3.618997419860201,9.618769000857865e-09,0.0,20.42456653763642,39.6,38.4,1045.0,
root_anchored,2013,5,80/50,2013-08-25,103.0,1247.3129999999996,1.0096034682466306,0.9218037162992264,1946.9458260482393,4.857931081136087,0.15648687140951265,4.351510447644862,7.45986415314321e-12,0.0,33.16620106674181,67.4,59.7,1050.0,
root_anchored,2013,5,80/50,2013-08-27,105.0,1277.0579999999995,1.0242987643801107,0.9218037162992264,2008.2432389237333,5.382337270558757,0.17135746186727346,4.7366351578557655,4.163336342344337e-14,0.0,30.86054063855255,46.4,59.1,1050.0,
root_anchored,2013,5,80/50,2013-08-29,107.0,1305.1229999999996,1.0389277114426594,0.9218037162992264,2069.173810518293,5.928368480897667,0.1866896681745485,5.129515973356218,0.0,0.0,38.683006291934134,66.0,70.1,1050.0,
root_anchored,2013,5,80/50,2013-09-04,113.0,1390.6479999999997,1.0462177964124015,0.8733251840059154,2241.8403165554682,7.667076058537928,0.01066622130667276,3.4520272583504212,0.0,0.0,49.57389346395329,86.8,83.2,1050.0,
root_anchored,2013,5,80/50,2013-09-06,115.0,1422.1629999999998,1.0462177964124015,0.8477245139831816,2294.465945327373,8.271456838737324,0.44478900364207674,4.229372949143009,0.0,0.0,48.6213661457222,72.2,80.7,1050.0,
root_anchored,2013,5,80/50,2013-09-17,126.0,1542.5729999999999,1.0462177964124015,0.519098124505282,2488.2553510631706,11.50141435836635,0.8272025127750398,1.1643726137722668,1.369995204178287,0.0,2.7354264589171886,29.6,30.0,1050.0,
root_anchored,2013,6,80/40,2013-06-06,23.0,201.63449999999995,0.3298381477900274,0.014686962024777032,5.807883656076449,0.0,0.4121976966798399,0.11904089772913938,0.0,0.0,22.3741866234739,12.0,12.4,90.0,
root_anchored,2013,6,80/40,2013-06-10,27.0,245.90299999999993,0.3716329768158321,0.02691265126121755,10.974541814263693,0.0,1.3902848778611412,0.3057744435434339,0.0,0.0,17.0400308013631,10.2,9.9,130.0,
root_anchored,2013,6,80/40,2013-06-12,29.0,273.1979999999999,0.3919165002920148,0.03398720003333449,14.870260028437015,0.0,0.9374615052592006,0.5278378945978032,0.0,0.0,20.292627359272345,19.8,17.8,150.0,
root_anchored,2013,6,80/40,2013-06-14,31.0,300.41799999999995,0.41184274811810795,0.046944928729664395,20.100373256802133,0.0,5.0969103330539,0.6807506790451069,0.0,0.0,13.107206601346602,1.2,5.6,170.0,
root_anchored,2013,6,80/40,2013-06-19,36.0,362.613,0.46028895083906607,0.09458553800868492,41.5706709920662,0.0,0.5993884719101282,1.3920685443101555,0.0,0.0,22.326524027066235,25.7,22.0,220.0,
root_anchored,2013,6,80/40,2013-06-21,38.0,391.698,0.4791824155179334,0.13051033523785874,55.47541643922857,0.0,3.071129312644728,1.4427210874721106,0.0,0.0,15.092420902419546,5.5,10.5,240.0,
root_anchored,2013,6,80/40,2013-06-25,42.0,445.30299999999994,0.5162427594925265,0.2318300669552355,97.01275970525539,0.0,0.37049136517820813,2.3839895001010314,0.0,0.0,25.87479499149192,32.3,27.2,290.0,
root_anchored,2013,6,80/40,2013-06-27,44.0,474.05299999999994,0.5344405528134383,0.3131664880754874,127.53132660729167,0.0,2.817282791771241,4.047786846581981,0.0,0.0,25.30191770967799,9.3,23.7,320.0,
root_anchored,2013,6,80/40,2013-06-30,47.0,516.9079999999999,0.5613588043136397,0.44371152437668887,186.20012364028725,0.0,0.13011635152691725,3.6986932331481173,0.0,0.0,37.510953252035804,40.0,37.9,365.0,
root_anchored,2013,6,80/40,2013-07-02,49.0,540.3679999999999,0.5790685205413582,0.576273247966288,234.537998705896,0.0,2.059799046734403,4.823315073986641,0.0,0.0,35.46074682503812,15.3,33.0,395.0,
root_anchored,2013,6,80/40,2013-07-04,51.0,565.6429999999999,0.5966013738835376,0.6218289987013796,285.2437457018409,0.0,0.7096579837357067,5.079424999562111,0.0,0.0,48.3197021642607,52.4,43.6,425.0,
