variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,Canopy_obs
default_maize,2013,8,65/65,2013-06-18,35.0,349.193,0.8073556073605817,0.38788323249842427,139.4340598957721,0.0,0.1330280144617439,3.6641855353779444,0.0,0.0,31.72381257291404,18.526666666666667
default_maize,2013,8,65/65,2013-06-25,42.0,445.30299999999994,0.9055384139650032,0.7353053465077861,324.88059731434475,0.0,0.03315815514407372,5.764930581844807,0.0,0.0,55.714077603601346,32.207499999999996
default_maize,2013,8,65/65,2013-06-27,44.0,474.05299999999994,0.932816796307215,0.784047138475332,387.47009176805216,0.0,1.1550238406655422,7.905239083401224,0.0,0.0,60.14171417802113,38.322500000000005
default_maize,2013,8,65/65,2013-07-02,49.0,540.3679999999999,0.9997138505472563,0.8385776364300024,547.3870826578556,0.0,0.609968601530063,6.166543729802909,0.0,0.0,80.2611667086068,52.835
default_maize,2013,8,65/65,2013-07-09,56.0,638.3279999999999,1.090519644296888,0.8782477632420885,763.3808088491957,0.0,0.02812473921178843,5.068043553401301,0.0,0.0,99.92968843822636,55.54
default_maize,2013,8,65/65,2013-07-11,58.0,666.2129999999999,1.1158954130338528,0.8993196066751236,831.7573561440216,0.0,0.40963590588332016,8.482899567283582,0.0,0.0,90.58069982031729,75.9425
default_maize,2013,8,65/65,2013-07-16,63.0,736.2929999999999,1.1786165054101478,0.9295290185290226,1004.6693140477561,0.0,0.20231512951551422,7.6152374550242925,0.0,0.0,87.74910107031432,84.235
default_maize,2013,8,65/65,2013-07-18,65.0,765.0529999999999,1.2033632596426178,0.9331016517106249,1073.776149308319,0.0,0.14438558783499153,5.978799765958022,0.0,0.0,98.64027491693496,79.86
default_maize,2013,8,65/65,2013-07-25,72.0,857.3679999999998,1.2885603417314284,0.9393074729609558,1310.2324597699696,0.2444937906870365,0.05675500740440219,2.7462563936140576,0.0,0.0,99.2213727081185,85.97749999999999
default_maize,2013,8,65/65,2013-07-30,77.0,913.9979999999998,1.3482034524562196,0.9393074729609558,1468.9968956803432,0.5006359422403025,0.10743954806974505,5.264742111394862,0.0,0.0,63.743817674625326,85.0775
default_maize,2013,8,65/65,2013-08-02,80.0,955.1329999999998,1.383541204081424,0.9393074729609558,1568.9920462465388,0.757988658963803,0.12199833232721775,5.927575782239957,0.0,30.4,49.485707255637024,85.0975
default_maize,2013,8,65/65,2013-08-13,91.0,1089.558,1.5105130711662211,0.9393074729609558,1920.8317583628368,2.679137861015373,0.08376609178566458,3.7937840645362764,0.0,0.0,31.038791661619673,85.0425
default_maize,2013,8,65/65,2013-08-15,93.0,1111.578,1.533193709622512,0.9393074729609558,1982.4409948574094,3.134284541858056,0.0975043832891946,4.375714902333397,0.0,0.0,39.58609255923657,83.24
