variant,Year,Trt_code,Treatment,HarvestDate,DryYield_AquaCrop_t_ha,FreshYield_AquaCrop_t_ha,SeasonalIrr_AquaCrop_mm,SeasonalET_AquaCrop_mm,Yield_kg_ha,Annual_ETc_mm,Yield_dry_t_ha
default_maize,2013,9,65/50,2013-09-24 00:00:00,13.851074308275257,15.390082564750285,353.0,548.6962392426872,12119.800870830106,493.46594878743616,10.24123173585144
default_maize,2013,10,65/40,2013-09-24 00:00:00,13.871019003541491,15.412243337268324,326.1,547.6114082923398,10898.255987087277,450.3649906627693,9.209026309088749
default_maize,2013,11,50/50,2013-09-24 00:00:00,12.9769030080816,14.418781120090665,323.70000000000005,525.7586893208246,12064.092201081046,453.8636794814489,10.194157909913484
default_maize,2013,12,40/40,2013-09-24 00:00:00,12.76694879604398,14.185498662271089,294.8,522.7260358020246,8567.100621986638,422.1399110449349,7.239200025578709
root_anchored,2012,1,100/100,2012-09-09 00:00:00,12.914278830517157,14.349198700574618,638.1999999999999,598.0543775423973,15733.992159616875,770.7831007454885,13.29522337487626
root_anchored,2012,2,100/50,2012-09-09 00:00:00,12.7475126472743,14.16390294141589,511.2,588.3764207561771,12673.705877886356,653.1460949508372,10.709281466813971
root_anchored,2012,3,80/80,2012-09-09 00:00:00,12.788867931989136,14.209853257765706,546.5,598.8177628118251,14946.326894705267,675.4905072903733,12.629646226025951
root_anchored,2012,4,80/65,2012-09-09 00:00:00,12.792929842871528,14.214366492079476,485.8,590.8947268124889,13332.045075873235,610.7806182603341,11.265578089112884
root_anchored,2012,5,80/50,2012-09-09 00:00:00,12.776029947452106,14.19558883050234,456.4,590.0894103976791,11274.593084905717,586.1831390298669,9.52703115674533
root_anchored,2012,6,80/40,2012-09-09 00:00:00,12.765400049678785,14.183777832976428,447.29999999999995,589.3847308161808,12806.985954148307,600.5606915353773,10.82190313125532
root_anchored,2012,7,65/80,2012-09-09 00:00:00,12.455747222228538,13.839719135809487,497.6999999999999,587.8259014584611,14711.6786094809,640.91866791242,12.43136842501136
root_anchored,2012,8,65/65,2012-09-09 00:00:00,12.446332666190882,13.829258517989869,443.79999999999995,578.9825541131709,12615.487312571784,565.4284570146739,10.660086779123157
root_anchored,2012,9,65/50,2012-09-09 00:00:00,12.392743372512502,13.769714858347225,426.79999999999995,577.1463306042638,12038.913475990834,551.4353497659324,10.172881887212254
root_anchored,2012,10,65/40,2012-09-09 00:00:00,12.389490667452927,13.766100741614363,407.2,577.0104545616891,11642.914890861395,544.7363166561272,9.83826308277788
root_anchored,2012,11,50/50,2012-09-09 00:00:00,11.454957666324859,12.727730740360954,397.5999999999999,547.0610409559984,11375.560651538502,530.9685017671595,9.612348750550034
root_anchored,2012,12,40/40,2012-09-09 00:00:00,10.484905519774925,11.649895021972139,347.7,515.1524112314446,10685.614734499954,476.6008678435148,9.029344450652461
root_anchored,2013,1,100/100,2013-09-24 00:00:00,12.16373806765793,13.51526451961992,508.5999999999999,511.4945907120231,15699.400422165467,658.9169450180244,13.265993356729819
root_anchored,2013,2,100/50,2013-09-24 00:00:00,12.164734923028854,13.516372136698728,414.6000000000001,511.5051772365874,13076.020146452964,565.1947378959761,11.049237023752754
root_anchored,2013,3,80/80,2013-09-24 00:00:00,12.020024541593408,13.355582823992675,424.59999999999997,508.1711851274496,15300.709668643882,581.1055827894791,12.92909967000408
root_anchored,2013,4,80/65,2013-09-24 00:00:00,12.019035256698109,13.354483618553454,404.1,508.0254390904324,14848.343850663652,565.635924569571,12.546850553810785
root_anchored,2013,5,80/50,2013-09-24 00:00:00,12.050278312177108,13.389198124641231,372.90000000000003,509.16231436285364,13066.117023118875,505.1238542676305,11.04086888453545
root_anchored,2013,6,80/40,2013-09-24 00:00:00,12.047163355766191,13.385737061962434,344.6,507.35226438739664,10600.22741421654,493.2172199621322,8.957192165012977
root_anchored,2013,7,65/80,2013-09-24 00:00:00,11.831623637219614,13.146248485799571,401.7,505.4072564924534,15098.96896238575,558.5063642114653,12.758628773215959
root_anchored,2013,8,65/65,2013-09-24 00:00:00,11.934805943184594,13.260895492427327,383.09999999999997,509.3866646569867,13902.860840737338,540.8968625907834,11.74791741042305
root_anchored,2013,9,65/50,2013-09-24 00:00:00,11.927803778506322,13.253115309451468,353.0,508.9753680845391,12119.800870830106,493.46594878743616,10.24123173585144
root_anchored,2013,10,65/40,2013-09-24 00:00:00,11.96109791312244,13.290108792358266,326.1,507.60406389751984,10898.255987087277,450.3649906627693,9.209026309088749
root_anchored,2013,11,50/50,2013-09-24 00:00:00,10.85290024476262,12.058778049736246,323.70000000000005,479.8239226431713,12064.092201081046,453.8636794814489,10.194157909913484
root_anchored,2013,12,40/40,2013-09-24 00:00:00,10.09215219542192,11.21350243935769,294.8,465.0545927909935,8567.100621986638,422.1399110449349,7.239200025578709
