variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm
default_maize,2013,4,80/65,2013-06-06,23.0,201.63449999999995,0.6261190262016995,0.06038222857589924,17.79076101006775,0.0,0.3342550082753845,0.4765922540831697,0.0,0.0,24.15585057423825
default_maize,2013,4,80/65,2013-06-07,24.0,212.39449999999994,0.6420331128959154,0.07108062760254104,21.80656642938215,0.0,5.939969777845408,0.7136456124862902,0.0,20.3,10.509465964569953
default_maize,2013,4,80/65,2013-06-08,25.0,222.61449999999994,0.6577732039014147,0.08352929645790859,26.402943190423777,0.0,3.85239940577073,0.8161900502349919,0.0,0.0,15.178055420575662
default_maize,2013,4,80/65,2013-06-09,26.0,233.61299999999994,0.6733489891676036,0.09765394694924742,31.872234819242355,0.0,1.8184114210582676,1.0703380628762769,0.0,0.0,18.066804904510192
default_maize,2013,4,80/65,2013-06-10,27.0,245.90299999999993,0.6887692226287104,0.11398703432805765,38.454747392008784,0.0,0.9483607662234564,1.2313085437228368,0.0,0.0,20.24647421445647
default_maize,2013,4,80/65,2013-06-11,28.0,259.11799999999994,0.704041847747743,0.13164932585869268,45.979960085690436,0.0,0.7799565573070928,1.9460557472225382,0.0,0.0,22.972486518986095
default_maize,2013,4,80/65,2013-06-12,29.0,273.1979999999999,0.719174101883753,0.15153886963530427,54.543150511985026,0.0,0.4975545820848509,2.19854951179163,0.0,0.0,25.668590612862566
default_maize,2013,4,80/65,2013-06-13,30.0,286.23799999999994,0.73417260373038,0.17838821477610006,64.46874988348029,0.0,5.325617784466194,1.9299465030539402,0.0,20.2,12.724154900382695
default_maize,2013,4,80/65,2013-06-14,31.0,300.41799999999995,0.7490434270959047,0.20909630269570484,75.89941363035564,0.0,4.108270763872914,2.7609250439065423,0.0,0.0,19.59335070816215
default_maize,2013,4,80/65,2013-06-15,32.0,312.67299999999994,0.7637921635692013,0.24380260275820634,88.96508898437507,0.0,0.9323835789802185,2.6185802923712425,0.0,0.0,23.14431457951359
default_maize,2013,4,80/65,2013-06-16,33.0,326.45799999999997,0.7784239760707019,0.2842460670956208,103.85114163442364,0.0,0.3307624311653836,2.580853406385156,0.0,0.0,26.05593041706411
default_maize,2013,4,80/65,2013-06-17,34.0,337.198,0.7929436448733297,0.3304472084526364,119.93005526280176,0.0,0.1499126208687231,2.804103664280601,0.0,0.0,29.009946702213433
default_maize,2013,4,80/65,2013-06-18,35.0,349.193,0.8073556073605817,0.38202641222911804,138.48474039445412,0.0,0.14312657110037752,3.6206604911757445,0.0,0.0,32.77373376448955
default_maize,2013,4,80/65,2013-06-19,36.0,362.613,0.8216639925428137,0.4349651935020729,159.41981471780403,0.0,0.15627439455720707,5.275885168081082,0.0,0.0,38.20589332712783
default_maize,2013,4,80/65,2013-06-20,37.0,376.693,0.8358726511604564,0.5099332135095713,182.9805757407926,0.0,3.017660196580604,5.4712427015836855,0.0,20.3,26.140796225292117
default_maize,2013,4,80/65,2013-06-21,38.0,391.698,0.8499851820513775,0.5774485263059338,208.71852683324,0.0,2.0672503318457327,4.974224716224625,0.0,0.0,33.18227127336247
default_maize,2013,4,80/65,2013-06-22,39.0,404.443,0.8640049553393366,0.6286503390728994,236.0018106490778,0.0,1.5911292148962615,4.788821928508343,0.0,0.0,39.56222241676707
default_maize,2013,4,80/65,2013-06-23,40.0,415.08799999999997,0.8779351329042943,0.6699536294398093,263.0737714787438,0.0,0.36013412982466675,5.015571457288674,0.0,0.0,44.9379280038804
default_maize,2013,4,80/65,2013-06-24,41.0,429.28299999999996,0.89177868651793,0.7031523797269628,292.4620987617525,0.0,0.533205234496957,5.763119493792088,0.0,0.0,50.72625273216945
default_maize,2013,4,80/65,2013-06-25,42.0,445.30299999999994,0.9055384139650032,0.7297459202706462,322.5650283098057,0.0,0.03477556660401862,5.736887810166688,0.0,0.0,56.49791610894015
default_maize,2013,4,80/65,2013-06-26,43.0,458.1329999999999,0.9192169534200737,0.7641419123884243,353.5665706339312,0.0,1.0763183154895972,6.491972451528332,0.0,15.2,48.86620687595808
default_maize,2013,4,80/65,2013-06-27,44.0,474.05299999999994,0.932816796307215,0.7852546481919035,385.1063991457346,0.0,1.146938365925752,7.912898080272075,0.0,0.0,57.926043322155905
default_maize,2013,4,80/65,2013-06-28,45.0,489.31299999999993,0.9463402988358248,0.7982532921903094,416.9729353778042,0.0,0.7839632574007924,7.59280971127215,0.0,0.0,65.54081629082883
default_maize,2013,4,80/65,2013-06-29,46.0,503.7679999999999,0.9597896923770569,0.8085398541353387,449.095587696764,0.0,0.762126541161229,6.231260963299641,0.0,0.0,71.77220379528968
default_maize,2013,4,80/65,2013-06-30,47.0,516.9079999999999,0.9731670928216016,0.8149664132221928,481.37719565690657,0.0,0.015276666593007852,5.617879861864519,0.0,0.0,77.40536032374723
default_maize,2013,4,80/65,2013-07-01,48.0,528.4979999999999,0.9864745090396604,0.836425714174918,513.3106916444937,0.0,0.6101994337999751,6.025157020600096,0.0,15.2,68.33271677814729
