variant,Year,Trt_code,Date,z_model,z_USDA,SWD_modelroot,SWD_USDAroot,Canopy_AC,Es,Tr
effective100,2012,4,2012-07-06,0.3319264348678341,,6.363116832059926,,15.284647135931184,5.393071506251076,1.6135886632913594
effective100,2012,4,2012-07-07,0.3400463337900103,,-13.893142653823794,,17.40179449482047,3.5924502317739426,1.257299613538125
effective100,2012,4,2012-07-08,0.34813788982695376,,-5.575373314826283,,19.055194796040364,2.685760328556994,1.0245537810867533
effective100,2012,4,2012-07-09,0.3562016227718893,,3.4780177649481705,,20.16152434251981,3.239924231313146,1.790567342314818
effective100,2012,4,2012-07-10,0.3642380353931091,0.97,8.347037401730887,102.16821878170431,20.16152434251981,1.6916862887720145,2.0549849034981
effective100,2012,4,2012-07-11,0.3722476142299031,,11.473967453116083,,20.16152434251981,0.8665522599908076,1.9563596613028407
effective100,2012,4,2012-07-12,0.3802308303404544,0.98,14.189366049809564,109.61011815528177,20.16152434251981,0.6445954934469964,2.022073355440882
effective100,2012,4,2012-07-13,0.3881881400052338,,-16.93634782532311,,20.16152434251981,4.834331990222611,2.026689708440658
effective100,2012,4,2012-07-14,0.396119985389123,,0.15839502162280505,,20.16152434251981,5.603228832226335,2.427587491374102
effective100,2012,4,2012-07-15,0.40402679516521806,,8.002867841083383,,20.16152434251981,1.8360429120168202,2.148492055792406
effective100,2012,4,2012-07-16,0.4119089851030188,,9.745070131180885,,20.16152434251981,5.082629893523229,2.12706673794648
effective100,2012,4,2012-07-17,0.41976695862348595,1.005,14.866383137346022,101.43458732364473,20.16152434251981,2.9761900943472983,1.9774129439832526
effective100,2012,4,2012-07-18,0.42760110732324014,,-3.835298198813427,,20.16152434251981,5.1857159152094505,2.1676800202291013
effective100,2012,4,2012-07-19,0.43541181146999935,1.015,4.242831752719451,91.63081453327925,20.16152434251981,4.900880688528145,2.089631982271917
effective100,2012,4,2012-07-20,0.4431994404711778,,9.473773634529573,,20.16152434251981,2.2993550790336688,2.256183690685144
effective100,2012,4,2012-07-21,0.45096435331742674,,13.032076421629737,,20.16152434251981,1.254955604319444,2.1832947939448943
effective100,2012,4,2012-07-22,0.45870689900274536,1.03,16.12930686237499,105.61844749081182,20.16152434251981,0.8299624693639615,2.2354034150915405
effective100,2012,4,2012-07-23,0.4664274169226789,,-26.66729186891791,,20.16152434251981,5.431249036498013,2.263696195951479
effective100,2012,4,2012-07-24,0.4741262372519998,1.04,-3.8813642208420966,72.15063934997373,20.16152434251981,5.160503056333304,2.2244249669832232
effective100,2012,4,2012-07-25,0.48180368130315937,,6.8423392109690155,,20.16152434251981,3.165040317857522,1.6614508108485337
effective100,2012,4,2012-07-26,0.48946006186670926,1.05,11.7230336516013,82.09037233071413,20.16152434251981,1.7718234631632264,1.8970997854751834
effective100,2012,4,2012-07-27,0.49709568353480055,,-11.101692442207217,,20.16152434251981,5.0556814734895745,2.1022338883902743
effective100,2012,4,2012-07-28,0.5047108430087877,,0.08122293109947465,,20.16152434251981,4.6814131425907535,1.9696970704652625
effective100,2012,4,2012-07-29,0.5123058293918903,,7.602116577379542,,20.16152434251981,3.590487221701301,1.8855916953357887
effective100,2012,4,2012-07-30,0.5198809244678051,,11.181679379329815,,20.16152434251981,1.4496608852094175,1.5506374929532356
effective100,2012,4,2012-07-31,0.527436402966087,1.05,14.338223210855357,76.31919000524493,20.16152434251981,1.1204779888650795,1.884936815530193
effective100,2012,4,2012-08-01,0.534972532815069,,-16.321554303803353,,20.16152434251981,3.5025229688171735,1.452137003865476
effective100,2012,4,2012-08-02,0.5424895753830397,1.05,-3.86793610215134,50.50002645507677,20.16152434251981,3.962957728135212,1.9332187490140318
effective100,2012,4,2012-08-03,0.5499877857083413,,4.611635661093957,,20.16152434251981,1.662243971051751,1.949795202104307
effective100,2012,4,2012-08-04,0.5574674127190116,,10.591108780494938,,20.16152434251981,3.005765773885351,1.7309905217927328
effective100,2012,4,2012-08-05,0.5649286994425522,1.05,14.007883246753858,61.742968829777375,20.16152434251981,1.418676220628026,1.729470685238496
effective100,2012,4,2012-08-06,0.5723718832063649,,-9.760455349220688,,20.16152434251981,4.571687669481404,1.8898384118813396
effective100,2012,4,2012-08-07,0.5797971958293657,1.05,-3.584283956327684,40.388712656924994,20.16152434251981,4.0775077218015054,1.7040113346602912
effective100,2012,4,2012-08-08,0.5872048638052485,,3.6380438770870014,,20.16152434251981,2.1659709743298046,1.7838405597594873
effective100,2012,4,2012-08-09,0.5945951084778478,1.05,8.162773654815544,47.66047292295284,20.16152434251981,1.3162681523972941,2.0056805795413086
effective100,2012,4,2012-08-10,0.6019681462090147,,-1.379520558379144,,20.16152434251981,4.609958309211621,1.901164148652146
effective100,2012,4,2012-08-11,0.6093241885393976,,4.417349254032227,,20.16152434251981,3.7410981699181542,1.5419311021135842
effective100,2012,4,2012-08-12,0.6166634423424948,,9.668181885612153,,20.16152434251981,3.211514478728978,1.691151966214441
effective100,2012,4,2012-08-13,0.6239861099723263,,12.847021723605005,,20.16152434251981,2.5937779394799803,1.2596447039341967
effective100,2012,4,2012-08-14,0.6312923894050435,1.05,15.913089302859504,54.091886568287855,20.16152434251981,1.4993950895133783,1.543777737568587
effective100,2012,4,2012-08-15,0.6385824743747857,,7.287415258161141,,20.03323897768442,4.743505519498552,1.9247744051451485
effective100,2012,4,2012-08-16,0.6385824743747857,1.05,11.188871831805269,49.35999554566113,19.888628324590695,2.900088916361322,0.9997401363682554
effective100,2012,4,2012-08-17,0.6385824743747857,,14.631429533159762,,19.725614866157414,2.7201389132906413,1.2299910936392788
effective100,2012,4,2012-08-18,0.6385824743747857,,17.44199968518866,,19.54185670545567,1.8064809698667048,1.511976278536438
effective100,2012,4,2012-08-19,0.6385824743747857,,19.6355574747319,,19.33471392136274,0.8568194988683748,1.3367083395475026
effective100,2012,4,2012-08-20,0.6385824743747857,1.05,20.52985708017101,58.700404843461236,19.10121064271699,0.31078719799345084,0.583507006057789
effective100,2012,4,2012-08-21,0.6385824743747857,,6.427136672484424,,18.83799229612059,3.832902165999884,1.3643759805624138
effective100,2012,4,2012-08-22,0.6385824743747857,1.05,11.193644352185782,49.36419027929856,18.541277413200028,3.5457692895964956,1.2207379996785377
effective100,2012,4,2012-08-23,0.6385824743747857,,15.431094988054877,,18.20680330497398,3.1005527395200283,1.1368977899274901
